TAP_service,table_name,description
VizieR,J/MNRAS/500/358/zcat,"Redshift catalogue (Table 4) ( Balogh M.L., van der Burg R.F.J., Muzzin A., et al.)"
VizieR,J/MNRAS/500/358/photo,"Selected photometric data for each cluster system in the GCLASS, GOGREEN samples, COMOS UltraVISTA (v1.4; Muzzin+ 2013, J/ApJS/206/8), and SXDF SPLASH (v1.6; Mehta+ 2018, J/ApJS/235/36) fields (Table 3) ( Balogh M.L., van der Burg R.F.J., Muzzin A., et al.)"
VizieR,J/ApJS/224/15/table9,"250ks E-CDF-S main Chandra source catalog ( Xue Y.Q., Luo B., Brandt W.N., Alexander D.M., Bauer F.E., Lehmer B.D., Yang G.)"
VizieR,J/ApJS/224/15/table12,"250ks E-CDF-S supplementary near-infrared bright Chandra source catalog ( Xue Y.Q., Luo B., Brandt W.N., Alexander D.M., Bauer F.E., Lehmer B.D., Yang G.)"
VizieR,J/MNRAS/472/273/ozdesdr1,"Positions, redshifts, redshifts quality flags ( Childress M.J., Lidman C., Davis T.M., et al.)"
VizieR,J/ApJS/223/20/spec,"Morphological catalog of SDSS objects with spectra ( Kuminski E., Shamir L.)"
VizieR,J/ApJ/884/136/sample,"Physical properties (Table 1) and PAH luminosity in different bands (Table 2) of the sample ( Xie Y., Ho L.C.)"
VizieR,J/ApJ/693/370/agn,"Spectral features and data for AGN in FLS  and Bootes ( Weedman D.W., Houck J.R.)"
VizieR,J/ApJS/225/23/table3,"Catalog of MLCG members ( Sohn J., Geller M.J., Hwang H.S., Zahid H.J., Lee M.G.)"
VizieR,J/MNRAS/358/1159/tablea,"Astrometric and astrophysical properties of radio sources in the 10-arcmin field ( Muxlow T.W.B., Richards A.M.S., Garrington S.T., Wilkinson P.N., Anderson B., Richards E.A., Axon D.J., Fomalont E.B., Kellermann K.I., Partridge R.B., Windhorst R.A.)"
VizieR,J/A+A/669/A83/table1,"Source identification ( Deconto-Machado A., del Olmo Orozco A., Marziani P., Perea J., Stirpe G.)"
VizieR,J/A+A/566/A60/table7,"A optical-NIR band-merged catalog at the AKARI NEP-Deep field ( Oi N., Matsuhara H., Murata K., Goto T., Wada T., Takagi T., Ohyama Y., Malkan M., Im M., Shim H., Serjeant S., Pearson C.)"
VizieR,J/ApJ/779/137/table2,"WFC3 grism spectroscopic redshifts of galaxies ( Zeimann G.R., Stanford S.A., Brodwin M., Gonzalez A.H., Mancone C., Snyder G.F., Stern D., Eisenhardt P., Dey A., Moustakas J.)"
VizieR,J/ApJ/832/67/doublagn,"Longslit observations and  measured luminosities and kinematic classification of the Type 2 AGNs ( Nevin R., Comerford J., Muller-Sanchez F., Barrows R., Cooper M.)"
