TAP_service,table_name,objects,description
VizieR,J/other/Ap/52.40/fss,760,"Optical and near-infrared database of FSS galaxies ( Hakobyan A.A., Petrosian A.R., Mamon G.A., McLean B., Kunth D., Turatto M., Cappellaro E., Mannucci F., Allen R.J., Panagia N., Della Valle M.)"
VizieR,VII/36/catalog,755,The catalogue of Galaxy Redshifts ( Rood H.J.)
VizieR,J/MNRAS/274/1071/table3,750,"The galaxies observed in the EM cluster redshift survey ESO and AAT ( Collins C.A., Guzzo L., Nichol R.C., Lumsden S.L.)"
VizieR,J/ApJ/878/11/table1,739,"Source catalog (table sent by the author) ( Zou F., Yang G., Brandt W.N., Xue Y.)"
VizieR,J/A+A/652/A12/table3,726,"The new X-CLASS catalogue (table 3) ( Koulouridis E., Clerc N., Sadibekova T., et al.)"
VizieR,J/A+A/618/A137/tabled,722,"Atlas of CSGs from the MCs and interlopers ( Dorda R., Negueruela I., Gonzalez-Fernandez C., Marco A.)"
VizieR,J/ApJ/821/8/table2,712,"Sources that show no variation in radial velocity between multiple observations (1927 unique sources) ( Kounkel M., Hartmann L., Tobin J.J., Mateo M., Bailey III J.I., Spencer M.)"
VizieR,J/ApJ/883/175/table4,710,"The GOODVISITS table ( Yan R., Chen Y., Lazarz D., et al.)"
VizieR,J/A+A/513/A52/tableb1,691,"Globular Cluster velocities ( Schuberth Y., Richtler T., Hilker M., Dirsch B., Bassino L.P., Romanowsky A.J., Infante L.)"
VizieR,J/ApJ/756/139/table2,678,"Spectroscopic redshifts ( Connelly J.L., Wilman D.J., Finoguenov A., Hou A., Mulchaey J.S., McGee S.L., Balogh M.L., Parker L.C., Saglia R., Henderson R.D.E., Bower R.G.)"
HEASARC,rasssdssgc,677,ROSAT All-Sky Survey and Sloan Digital Sky Survey DR7 Galaxy Clu
VizieR,J/ApJ/834/210/table3,676,"The VLT/Magellan spectroscopic redshifts of the cluster members ( Carrasco M., Barrientos L.F., Anguita T., Garcia-Vergara C., Bayliss M., Gladders M., Gilbank D., Yee H.K.C., West M.)"
VizieR,J/ApJ/698/819/table1,670,"Catalog of selected SDSS DR5 MgII systems ( Lundgren B.F., Brunner R.J., York D.G., Ross A.J., Quashnock J.M., Myers A.D., Schneider D.P., Alsayyad Y., Bahcall N.)"
VizieR,J/A+A/559/A14/f14wide,665,"Search in F14_WIDE field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0 ( Le Fevre O., Cassata P., Cucciati O., et al.)"
VizieR,J/PAZh/34/868/table,655,Clump red giants in Tycho-2 catalogue ( Gontcharov G.A.)
VizieR,J/MNRAS/427/2647/table2,654,"Spectral types and radial velocities of targets observed with the VLT ( McDonald I., White J.R., Zijlstra A.A., Guzman Ramirez L., Szyszka C., van Loon J.T., Lagadec E., Jones O.C.)"
VizieR,J/other/RAA/11.245/table5,641,"Properties of the galaxies in the field of RX J0054.0-2823 ( Giraud E., Gu Q.-S., Melnick J., Quintana H., Selman F., Toledo I., Zelaya P.)"
VizieR,J/ApJ/661/L155/table1,641,"Radial Velocity Measurements ( Pancino E., Galfo A., Ferraro F.R., Bellazzini M.)"
VizieR,J/A+A/624/A141/emobj,637,"Emission line object table ( Urrutia T., Wisotzki L., Kerutt J., et al.)"
VizieR,J/ApJS/240/39/table7,636,"DEIMOS spectroscopic survey catalog ( Golovich N., Dawson W.A., Wittman D.M., Jee M.J., Benson B., Lemaux B.C., van Weeren R.J., Andrade-Santos F., Sobral D., de Gasperin F., Bruggen M., Bradac M., Finner K., Peter A.)"
